hour_of_the_week,BOROUGH,TimeFinal,Percentage_Crash,Value,Percentage_Volume,Crash/Volume Ratio
1,BRONX,727,0.000593111,190.4029605,0.000443746,1.336601289
2,BRONX,351,0.000286358,125.4819079,0.000292443,0.97919044
3,BRONX,232,0.000189273,97.01480263,0.000226099,0.8371266
4,BRONX,223,0.000181931,94.69078947,0.000220683,0.824400577
5,BRONX,262,0.000213748,145.0921053,0.000338146,0.632118747
6,BRONX,322,0.000262698,281.9884868,0.000657191,0.399728999
7,BRONX,582,0.000474815,510.4210526,0.001189567,0.39914948
8,BRONX,961,0.000784016,679.6973684,0.001584076,0.494935905
9,BRONX,1892,0.001543557,677.1118421,0.00157805,0.978141948
10,BRONX,1673,0.00136489,586.6611842,0.00136725,0.998273972
11,BRONX,1358,0.001107902,532.4194079,0.001240836,0.892867579
12,BRONX,1275,0.001040188,544.625,0.001269282,0.819509087
13,BRONX,1367,0.001115245,561.2023026,0.001307916,0.852688158
14,BRONX,1467,0.001196828,579.3980263,0.001350322,0.886327581
15,BRONX,1707,0.001392628,639.6381579,0.001490716,0.93420098
16,BRONX,1598,0.001303702,701.6233553,0.001635176,0.797285562
17,BRONX,2035,0.001660222,715.1332237,0.001666662,0.996135964
18,BRONX,1903,0.001552532,706.1069079,0.001645625,0.943429582
19,BRONX,1581,0.001289833,675.3947368,0.001574049,0.819436603
20,BRONX,1245,0.001015713,576.0822368,0.001342595,0.756529781
21,BRONX,1003,0.000818281,471.1447368,0.001098032,0.745225575
22,BRONX,762,0.000621665,388.6085526,0.000905676,0.686410279
23,BRONX,628,0.000512344,320.0197368,0.000745826,0.686948282
24,BRONX,442,0.000360598,259.2976974,0.000604309,0.596711999
25,BRONX,575,0.000469104,179.0986842,0.0004174,1.123871378
26,BRONX,230,0.000187642,119.2467105,0.000277912,0.675184696
27,BRONX,176,0.000143587,92.44407895,0.000215447,0.666460983
28,BRONX,129,0.000105243,92.10361842,0.000214653,0.490291291
29,BRONX,141,0.000115033,133.3601974,0.000310804,0.370112749
30,BRONX,237,0.000193353,262.7532895,0.000612363,0.315748536
31,BRONX,557,0.000454419,493.9868421,0.001151266,0.394712587
32,BRONX,1048,0.000854994,671.5838816,0.001565167,0.546263496
33,BRONX,1932,0.001576191,661.9802632,0.001542785,1.021652595
34,BRONX,1690,0.001378759,586.4243421,0.001366698,1.008825095
35,BRONX,1443,0.001177248,544.8848684,0.001269887,0.927049118
36,BRONX,1410,0.001150326,552.5625,0.001287781,0.893262015
37,BRONX,1421,0.0011593,564.4539474,0.001315494,0.881265411
38,BRONX,1554,0.001267806,581.6776316,0.001355635,0.935211444
39,BRONX,1811,0.001477475,638.8618421,0.001488907,0.992322097
40,BRONX,1659,0.001353468,695.4194079,0.001620717,0.83510434
41,BRONX,2052,0.001674091,715.9029605,0.001668456,1.003377503
42,BRONX,1903,0.001552532,713.3782895,0.001662572,0.933813314
43,BRONX,1606,0.001310229,659.7845395,0.001537668,0.852088233
44,BRONX,1318,0.001075269,586.4868421,0.001366843,0.786680343
45,BRONX,1006,0.000820729,484.9638158,0.001130238,0.726155793
46,BRONX,801,0.000653483,404.3322368,0.000942321,0.693482186
47,BRONX,670,0.000546609,334.5230263,0.000779626,0.701116111
48,BRONX,531,0.000433208,260.2029703,0.000606419,0.71437037
49,BRONX,634,0.000517239,180.3531353,0.000420324,1.230571132
50,BRONX,238,0.000194168,120.7739274,0.000281471,0.68983453
51,BRONX,182,0.000148482,94.49669967,0.00022023,0.674211116
52,BRONX,145,0.000118296,93.07755776,0.000216923,0.54533602
53,BRONX,154,0.000125638,141.8894389,0.000330682,0.379937194
54,BRONX,251,0.000204774,280.7805281,0.000654376,0.312930502
55,BRONX,548,0.000447077,521.8613861,0.00121623,0.367592428
56,BRONX,936,0.00076362,709.9389439,0.001654556,0.461525828
57,BRONX,1904,0.001553347,700.7029703,0.001633031,0.95120505
58,BRONX,1552,0.001266174,602.6881188,0.001404601,0.901447105
59,BRONX,1251,0.001020608,552.2079208,0.001286954,0.793041363
60,BRONX,1260,0.00102795,553.4570957,0.001289866,0.796943893
61,BRONX,1368,0.001116061,569.6155116,0.001327524,0.840708526
62,BRONX,1464,0.001194381,591.189769,0.001377804,0.866872705
63,BRONX,1790,0.001460342,665.8019802,0.001551692,0.9411289
64,BRONX,1574,0.001284122,710.0709571,0.001654864,0.775968586
65,BRONX,1956,0.001595771,732.620462,0.001707417,0.934611171
66,BRONX,1934,0.001577822,731.9257426,0.001705798,0.924976309
67,BRONX,1685,0.00137468,679.2293729,0.001582986,0.868409585
68,BRONX,1335,0.001089138,597.9372937,0.001393529,0.781568029
69,BRONX,1035,0.000844388,497.9570957,0.001160519,0.727594799
70,BRONX,865,0.000705696,409.7920792,0.000955045,0.738913684
71,BRONX,665,0.000542529,333.2673267,0.0007767,0.698505884
72,BRONX,505,0.000411996,281.7574257,0.000656653,0.627418282
73,BRONX,641,0.000522949,185.5891089,0.000432527,1.209056802
74,BRONX,281,0.000229249,125.2887789,0.000291993,0.78511867
75,BRONX,194,0.000158272,95.69636964,0.000223026,0.709655264
76,BRONX,168,0.00013706,94.86138614,0.00022108,0.619956156
77,BRONX,183,0.000149298,138.8910891,0.000323694,0.46123034
78,BRONX,251,0.000204774,283.3349835,0.000660329,0.310109223
79,BRONX,528,0.00043076,535.4735974,0.001247954,0.345173163
80,BRONX,987,0.000805228,714.8151815,0.00166592,0.483353143
81,BRONX,1987,0.001621062,706.6980198,0.001647003,0.98424939
82,BRONX,1657,0.001351836,604.8052805,0.001409536,0.959065118
83,BRONX,1328,0.001083427,552.9389439,0.001288658,0.840740673
84,BRONX,1331,0.001085875,552.9768977,0.001288746,0.842582101
85,BRONX,1446,0.001179696,571.1138614,0.001331016,0.886312253
86,BRONX,1498,0.001222119,588.8844884,0.001372431,0.890477314
87,BRONX,1664,0.001357547,664.0544554,0.001547619,0.877184176
88,BRONX,1674,0.001365706,717.9653465,0.001673262,0.816193501
89,BRONX,1938,0.001581086,731.7557756,0.001705401,0.927104684
90,BRONX,1936,0.001579454,725.3993399,0.001690587,0.934263449
91,BRONX,1664,0.001357547,690.2161716,0.001608591,0.843935689
92,BRONX,1316,0.001073637,623.0066007,0.001451955,0.739442491
93,BRONX,1092,0.00089089,519.6947195,0.00121118,0.735555582
94,BRONX,863,0.000704064,427.820132,0.000997061,0.706139881
95,BRONX,719,0.000586584,364.1815182,0.000848747,0.691117914
96,BRONX,559,0.000456051,371.6705298,0.000866201,0.526495717
97,BRONX,703,0.000573531,200.8096026,0.000467999,1.225496315
98,BRONX,343,0.000279831,136.4784768,0.000318071,0.879773983
99,BRONX,284,0.000231697,105.9354305,0.000246889,0.938465401
100,BRONX,195,0.000159088,104.1639073,0.00024276,0.655327677
101,BRONX,221,0.000180299,141.9884106,0.000330913,0.544854494
102,BRONX,316,0.000257803,278.4288079,0.000648895,0.397295893
103,BRONX,564,0.00046013,518.0976821,0.001207458,0.381073384
104,BRONX,974,0.000794622,699.4205298,0.001630042,0.487485545
105,BRONX,1955,0.001594955,701.7450331,0.00163546,0.975233421
106,BRONX,1747,0.001425261,604.1953642,0.001408114,1.012177497
107,BRONX,1378,0.001124219,559.6688742,0.001304342,0.861904652
108,BRONX,1465,0.001195196,579.4519868,0.001350448,0.885036802
109,BRONX,1452,0.001184591,604.897351,0.00140975,0.840284002
110,BRONX,1518,0.001238436,627.9536424,0.001463484,0.846224021
111,BRONX,1901,0.0015509,695.1076159,0.001619991,0.95735108
112,BRONX,1794,0.001463606,733.3294702,0.001709069,0.856375949
113,BRONX,2235,0.001823388,738.8708609,0.001721984,1.0588883
114,BRONX,2104,0.001716514,740.013245,0.001724646,0.995284874
115,BRONX,1892,0.001543557,721.5678808,0.001681658,0.917878295
116,BRONX,1514,0.001235172,664.2516556,0.001548079,0.797874143
117,BRONX,1289,0.00105161,574.8476821,0.001339718,0.784948736
