PERSON_AGE,PERSON_SEX,Crashes,PERSON_TYPE,PERSON_INJURY
1.0,Female,4292,4292,4292
1.0,Male,4584,4584,4584
1.0,Undefined,172,172,172
2.0,Female,4115,4115,4115
2.0,Male,4431,4431,4431
2.0,Undefined,81,81,81
3.0,Female,4365,4365,4365
3.0,Male,4936,4936,4936
3.0,Undefined,189,189,189
4.0,Female,4697,4697,4697
4.0,Male,5348,5348,5348
4.0,Undefined,286,286,286
5.0,Female,4852,4852,4852
5.0,Male,5469,5469,5469
5.0,Undefined,307,307,307
6.0,Female,4975,4975,4975
6.0,Male,5701,5701,5701
6.0,Undefined,218,218,218
7.0,Female,5313,5313,5313
7.0,Male,5854,5854,5854
7.0,Undefined,276,276,276
8.0,Female,5360,5360,5360
8.0,Male,6031,6031,6031
8.0,Undefined,239,239,239
9.0,Female,5301,5301,5301
9.0,Male,5882,5882,5882
9.0,Undefined,203,203,203
10.0,Female,5392,5392,5392
10.0,Male,6092,6092,6092
10.0,Undefined,273,273,273
11.0,Female,4917,4917,4917
11.0,Male,5507,5507,5507
11.0,Undefined,140,140,140
12.0,Female,4540,4540,4540
12.0,Male,5182,5182,5182
12.0,Undefined,169,169,169
13.0,Female,4336,4336,4336
13.0,Male,4746,4746,4746
13.0,Undefined,128,128,128
14.0,Female,4187,4187,4187
14.0,Male,4294,4294,4294
14.0,Undefined,88,88,88
15.0,Female,3995,3995,3995
15.0,Male,4380,4380,4380
15.0,Undefined,148,148,148
16.0,Female,4564,4564,4564
16.0,Male,5371,5371,5371
16.0,Undefined,163,163,163
17.0,Female,6496,6496,6496
17.0,Male,9191,9191,9191
17.0,Undefined,187,187,187
18.0,Female,8829,8829,8829
18.0,Male,15380,15380,15380
18.0,Undefined,178,178,178
19.0,Female,10965,10965,10965
19.0,Male,20982,20982,20982
19.0,Undefined,138,138,138
20.0,Female,13475,13475,13475
20.0,Male,26037,26037,26037
20.0,Undefined,249,249,249
21.0,Female,16081,16081,16081
21.0,Male,32525,32525,32525
21.0,Undefined,200,200,200
22.0,Female,18580,18580,18580
22.0,Male,37619,37619,37619
22.0,Undefined,212,212,212
23.0,Female,21404,21404,21404
23.0,Male,42068,42068,42068
23.0,Undefined,189,189,189
24.0,Female,23300,23300,23300
24.0,Male,45573,45573,45573
24.0,Undefined,241,241,241
25.0,Female,25751,25751,25751
25.0,Male,48737,48737,48737
25.0,Undefined,255,255,255
26.0,Female,26592,26592,26592
26.0,Male,51470,51470,51470
26.0,Undefined,287,287,287
27.0,Female,27452,27452,27452
27.0,Male,52829,52829,52829
27.0,Undefined,256,256,256
28.0,Female,27665,27665,27665
28.0,Male,52737,52737,52737
